date	group	state	ruler
1181-01C-01	正朔一	宋	趙匡胤（太祖）
1196-10C-20	正朔一	宋	趙炅（太宗）
1217-03C-29	正朔一	宋	趙恆（真宗）
1242-02C-01	正朔一	宋	趙禎（仁宗）
1283-04C-01	正朔一	宋	趙曙（英宗）
1287-01C-01	正朔一	宋	趙頊（神宗）
1305-02C-01	正朔一	宋	趙煦（哲宗）
1320-01C-01	正朔一	宋	趙佶（徽宗）
1345-12C-24	正朔一	宋	趙桓（欽宗）
1347-05C-01	正朔一	宋	趙構（高宗）
1382-06C-11	正朔一	宋	趙昚（孝宗）
1409-02C-01	正朔一	宋	趙惇（光宗）
1414-07C-03	正朔一	宋	趙擴（寧宗）
1444-08L-03	正朔一	宋	趙昀（理宗）
1484-10C-26	正朔一	宋	趙禥（度宗）
1494-07C-09	正朔一	宋	趙㬎（恭帝）
1496-05C-01	正朔一	宋	趙昰（端宗）
1498-04C-17	正朔一	宋	趙昺（帝昺）
1499-02C-07	正朔一		
1181-01C-01	正朔二	遼	耶律璟（穆宗）
1189-02C-22	正朔二	遼	耶律賢（景宗）
1202-09C-01	正朔二	遼	耶律隆緒（聖宗）
1251-06C-01	正朔二	遼	耶律宗真（興宗）
1275-08C-01	正朔二	遼	耶律洪基（道宗）
1321-02C-01	正朔二	遼	耶律延禧（天祚帝）
1344-02C-05	正朔二	遼	耶律大石（德宗）
1364-01C-01	正朔二	遼	蕭塔不煙（感天后）
1371-01C-01	正朔二	遼	
1384-01C-01	正朔二	遼	耶律普速完（承天后）
1398-01C-01	正朔二	遼	耶律直魯古（末主）
1401-01C-01	正朔二		
1480-01C-01	正朔二	元	
1480-05C-19	正朔二	元	忽必烈（世祖）
1335-01C-01	正朔三	金	完顏阿骨打（太祖）
1343-09C-16	正朔三	金	完顏晟（太宗）
1355-01C-01	正朔三	金	完顏亶（熙宗）
1369-12C-01	正朔三	金	完顏亮（海陵王）
1381-10C-01	正朔三	金	完顏雍（世宗）
1410-01C-01	正朔三	金	完顏璟（章宗）
1428-11C-01	正朔三	金	完顏永濟（衛紹王）
1429-01C-02	正朔三	金	完顏璟（章宗）
1429-01C-28	正朔三	金	完顏永濟（衛紹王）
1433-09C-01	正朔三	金	完顏珣（宣宗）
1444-01C-01	正朔三	金	完顏守緒（哀宗）
1454-01C-11	正朔三		
