date	group	state	ruler
1501-01C-01	正朔一	元	忽必烈（世祖）
1514-04C-14	正朔一	元	鐵穆耳（成宗）
1527-05C-21	正朔一	元	海山（武宗）
1531-03C-18	正朔一	元	愛育黎拔力八達（仁宗）
1540-03C-11	正朔一	元	碩德八剌（英宗）
1543-09C-04	正朔一	元	也孫鐵木兒（泰定帝）
1548-08C-01	正朔一	元	阿速吉八（天順帝）
1548-09C-13	正朔一	元	圖帖睦爾（文宗）
1549-01C-28	正朔一	元	和世㻋（明宗）
1549-08C-07	正朔一	元	
1549-08C-15	正朔一	元	圖帖睦爾（文宗）
1552-10C-04	正朔一	元	懿璘質班（寧宗）
1552-11C-27	正朔一	元	
1553-06C-08	正朔一	元	妥懽帖睦爾（順帝）
1591-01C-01	正朔一		
1501-01C-01	正朔二		
1588-01C-04	正朔二	明	朱元璋（太祖）
1618-05L-16	正朔二	明	朱允炆（惠帝）
1622-06C-17	正朔二	明	朱棣（成祖）
1644-08C-15	正朔二	明	朱高熾（仁宗）
1645-06C-12	正朔二	明	朱瞻基（宣宗）
1655-01C-10	正朔二	明	朱祁鎮（英宗）
1669-09C-06	正朔二	明	朱祁鈺（代宗）
1677-01C-17	正朔二	明	朱祁鎮（英宗）
1684-01C-22	正朔二	明	朱見深（憲宗）
1707-09C-06	正朔二	明	朱祐樘（孝宗）
1725-05C-18	正朔二	明	朱厚照（武宗）
1741-04C-22	正朔二	明	朱厚熜（世宗）
1786-12C-26	正朔二	明	朱載坖（穆宗）
1792-06C-10	正朔二	明	朱翊鈞（神宗）
1802-09C-19	正朔二		
1802-09C-29	正朔二	明	朱翊鈞（神宗）
1840-08C-01	正朔二	明	朱常洛（光宗）
1840-09C-06	正朔二	明	朱由校（熹宗）
1847-08C-24	正朔二	明	朱由檢（思宗）
1864-03C-20	正朔二	明	
1864-05C-15	正朔二	明	朱由崧（弘光帝）
1865-05C-23	正朔二	明	
1865-06L-27	正朔二	明	朱聿鍵（隆武帝）
1866-08C-29	正朔二	明	
1866-11C-05	正朔二	明	朱聿鐭（紹武帝）
1866-11C-18	正朔二	明	朱由榔（永曆帝）
1882-01C-02	正朔二	明	鄭成功（延平王）
1882-05C-09	正朔二	明	鄭經（延平王）
1901-01C-29	正朔二	明	鄭克塽（延平王）
1903-07C-01	正朔二		
1501-01C-01	正朔三		
1864-01C-01	正朔三	清	福臨（世祖）
1881-01C-08	正朔三	清	
1881-01C-09	正朔三	清	玄燁（聖祖）
1942-11C-13	正朔三	清	胤禛（世宗）
1955-08C-24	正朔三	清	
1955-09C-03	正朔三	清	弘曆（高宗）
2016-01C-01	正朔三	清	顒琰（仁宗）
2040-07C-26	正朔三	清	
2040-08C-27	正朔三	清	旻寧（宣宗）
2070-01C-15	正朔三	清	
2070-01C-26	正朔三	清	奕詝（文宗）
2081-07C-18	正朔三	清	
2081-10C-09	正朔三	清	載淳（穆宗）
2094-12C-06	正朔三	清	
2095-01C-20	正朔三	清	載湉（德宗）
2128-10C-22	正朔三	清	
2128-11C-09	正朔三	清	溥儀（宣統帝）
